MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO,PRECO_MEDIO_REVENDA_DEFLACIONADO
558,2014-04-30,OLEO_DIESEL,28234,R$/l,2.502,0.129,2.12,3.31,0.303,0.052,2.199,0.094,1.806,2.881,0.043,3.42730105263158
559,2014-05-31,OLEO_DIESEL,23865,R$/l,2.5,0.129,2.15,3.31,0.301,0.052,2.199,0.095,1.896,2.881,0.043,3.39035087719298
560,2014-06-30,OLEO_DIESEL,25010,R$/l,2.5,0.128,2.149,3.31,0.304,0.051,2.196,0.094,1.88,2.881,0.043,3.39605263157895
561,2014-07-31,OLEO_DIESEL,27942,R$/l,2.499,0.13,2.15,3.31,0.303,0.052,2.196,0.094,1.88,2.769,0.043,3.42713736842105
562,2014-08-31,OLEO_DIESEL,23265,R$/l,2.501,0.13,2.15,3.31,0.296,0.052,2.205,0.095,1.991,2.769,0.043,3.45664526315789
563,2014-09-30,OLEO_DIESEL,26629,R$/l,2.501,0.13,2.19,3.31,0.295,0.052,2.206,0.097,1.91,2.891,0.044,3.46849210526316
564,2014-10-31,OLEO_DIESEL,25424,R$/l,2.5,0.131,2.19,3.31,0.293,0.052,2.207,0.1,1.939,2.891,0.045,3.45833333333333
565,2014-11-30,OLEO_DIESEL,22960,R$/l,2.564,0.142,2.199,3.44,0.312,0.055,2.252,0.11,1.982,2.976,0.049,3.53427157894737
566,2014-12-31,OLEO_DIESEL,28340,R$/l,2.606,0.135,2.199,3.46,0.302,0.052,2.304,0.103,2.016,2.913,0.045,3.54736035087719
567,2015-01-31,OLEO_DIESEL,22914,R$/l,2.611,0.137,2.13,3.46,0.294,0.052,2.317,0.103,1.941,3.034,0.044,3.52576614035088
568,2015-02-28,OLEO_DIESEL,22554,R$/l,2.788,0.154,2.199,3.74,0.374,0.055,2.414,0.125,2.04,3.092,0.052,3.7276049122807
569,2015-03-31,OLEO_DIESEL,25823,R$/l,2.81,0.147,2.299,3.7,0.334,0.052,2.476,0.112,2.041,3.213,0.045,3.74370877192982
570,2015-04-30,OLEO_DIESEL,24373,R$/l,2.809,0.147,2.349,3.7,0.332,0.052,2.477,0.109,2.127,3.056,0.044,3.69408140350877
571,2015-05-31,OLEO_DIESEL,22157,R$/l,2.808,0.147,2.419,3.7,0.326,0.052,2.482,0.11,2.111,3.066,0.044,3.63512842105263
572,2015-06-30,OLEO_DIESEL,25964,R$/l,2.807,0.147,2.45,3.7,0.322,0.052,2.485,0.114,2.113,3.126,0.046,3.61364315789474
573,2015-07-31,OLEO_DIESEL,23492,R$/l,2.805,0.145,2.44,3.7,0.308,0.052,2.497,0.108,2.104,3.126,0.043,3.57809736842105
574,2015-08-31,OLEO_DIESEL,13157,R$/l,2.805,0.146,2.45,3.7,0.294,0.052,2.511,0.112,2.136,3.131,0.045,3.54414210526316
575,2015-09-30,OLEO_DIESEL,7915,R$/l,2.809,0.153,2.48,3.64,0.279,0.054,2.53,0.116,2.104,3.11,0.046,3.53539754385965
576,2015-10-31,OLEO_DIESEL,8633,R$/l,2.925,0.162,2.51,3.99,0.322,0.055,2.603,0.123,2.29,3.18,0.047,3.63264473684211
577,2015-11-30,OLEO_DIESEL,11193,R$/l,2.965,0.161,2.499,3.98,0.317,0.054,2.648,0.124,2.16,3.258,0.047,3.58400877192982
578,2015-12-31,OLEO_DIESEL,15743,R$/l,2.985,0.157,2.489,3.95,0.323,0.053,2.662,0.115,2.29,3.26,0.043,3.52858421052632
579,2016-01-31,OLEO_DIESEL,14961,R$/l,3.003,0.16,2.46,3.95,0.32,0.053,2.683,0.117,2.179,3.26,0.044,3.52404684210526
580,2016-02-29,OLEO_DIESEL,16325,R$/l,3.017,0.165,2.499,3.9,0.322,0.055,2.695,0.124,2.32,3.326,0.046,3.48013596491228
581,2016-03-31,OLEO_DIESEL,17219,R$/l,3.02,0.166,2.499,3.98,0.326,0.055,2.694,0.132,2.062,3.35,0.049,3.41524912280702
582,2016-04-30,OLEO_DIESEL,14870,R$/l,3.021,0.171,2.64,3.98,0.324,0.057,2.697,0.13,2.32,3.373,0.048,3.38935
583,2016-05-31,OLEO_DIESEL,17335,R$/l,3.017,0.17,2.46,3.98,0.325,0.056,2.692,0.13,2.059,3.369,0.048,3.36739543859649
584,2016-06-30,OLEO_DIESEL,15839,R$/l,3.015,0.172,2.539,3.98,0.327,0.057,2.688,0.131,2.093,3.353,0.049,3.32178947368421
585,2016-07-31,OLEO_DIESEL,14537,R$/l,3.015,0.172,2.539,3.98,0.334,0.057,2.681,0.134,2.32,3.339,0.05,3.23239736842105
586,2016-08-31,OLEO_DIESEL,17699,R$/l,3.01,0.171,2.53,3.98,0.336,0.057,2.674,0.135,2.296,3.339,0.05,3.21753157894737
587,2016-09-30,OLEO_DIESEL,14777,R$/l,3.009,0.174,2.53,3.98,0.335,0.058,2.674,0.137,2.36,3.342,0.051,3.20854421052632
